Gender;Age;Employment Status;Education;Matrial Status;Income;LoanApproved
Male;55;Full time;High;Married;High;Yes 
Male;25;Full time;High;Married;High;Yes 
Female;48;Unemployed;High;Married;High;No
Female;61;Retired;Medium;Married;Medium;Yes 
Male;22;Unemployed;Low;Single;High;No
Female;59;Retired;Low;Married;Medium;No
Male;51;Full time;Low;Divorced;Low;Yes 
Female;61;Retired;Low;Divorced;Low;Yes 
Female;24;Full time;Low;Single;High;Yes 
Female;34;Part time;High;Married;High;Yes 
Female;35;Full time;High;Married;High;No
Male;43;Self employed;Medium;DP;High;Yes 
Female;52;Full time;High;Married;High;Yes 
Female;30;Full time;Medium;Married;High;No
Female;28;Full time;Low;Married;High;Yes 
Female;58;Full time;High;Married;High;Yes 
Male;51;Retired;Low;Divorced;High;Yes 
Female;57;Part time;High;Married;High;No
Male;28;Full time;Low;DP;High;No
Female;29;Unemployed;High;Married;Medium;No
Male;60;Retired;High;DP;High;Yes 
Female;53;Unemployed;Low;Divorced;Low;No
Female;33;Part time;High;Married;Medium;No
Female;32;Unemployed;Low;Married;Medium;No
Male;53;Full time;Low;Divorced;Medium;No
Male;33;Full time;High;Married;Medium;Yes 
Male;47;Full time;Low;Single;High;No
Female;38;Full time;High;Married;High;Yes 
Female;46;Unemployed;Low;Single;Low;Yes 
Male;29;Full time;High;Single;High;Yes 
Female;49;Full time;High;Single;Medium;No
Male;56;Full time;Low;Single;Low;Yes 
Female;44;Part time;Low;Married;Medium;Yes 
Female;51;Full time;Low;Divorced;High;No
Male;54;Full time;Medium;Divorced;High;No
Female;48;Self employed;Low;Married;High;Yes 
Male;55;Full time;High;Married;Medium;No
Male;51;Full time;High;Divorced;High;No
Female;46;Full time;Medium;Married;Medium;Yes 
Female;39;Unemployed;Low;Married;Medium;No
Female;64;Retired;High;DP;Medium;Yes 
Male;62;Self employed;Medium;Divorced;High;Yes 
Female;54;Part time;Low;Single;Medium;Yes 
Male;54;Self employed;High;Married;High;No
Male;45;Retired;Low;Married;High;No
Male;26;Full time;High;Married;High;No
Male;24;Full time;High;Married;High;Yes 
Male;62;Self employed;High;Married;Medium;Yes 
Female;26;Full time;High;Single;Medium;No
Male;61;Self employed;High;Married;Medium;No
Female;28;Full time;High;DP;Medium;No
Male;58;Full time;High;Married;Medium;Yes 
Male;33;Full time;High;Single;High;No
Female;38;Full time;High;Single;High;No
Female;50;Full time;Low;Single;Medium;Yes 
Female;39;Unemployed;High;Married;High;Yes 
Male;62;Prefer not to answer;Low;Single;Low;No
Male;64;Retired;High;Married;High;Yes 
Male;31;Full time;Medium;Single;High;No
Male;64;Full time;High;DP;Low;Yes 
Female;28;Full time;High;Single;Medium;No
Male;49;Full time;Medium;Married;High;Yes 
Male;30;Full time;High;DP;High;Yes 
Female;60;Full time;High;Married;Medium;No
Female;45;Full time;High;Married;High;Yes 
Female;20;A student;Medium;Single;Medium;Yes 
Male;43;Self employed;High;Single;Medium;No
Male;37;Unemployed;High;Married;Low;No
Female;30;Part time;Low;Married;Medium;No
Female;52;Unemployed;Medium;Married;High;Yes 
Female;57;Self employed;High;Married;Medium;Yes 
Female;24;Unemployed;Medium;Single;Low;Yes 
Female;58;Unemployed;Low;Married;High;Yes 
Female;42;Full time;High;Single;Medium;Yes 
Male;58;Unemployed;Low;Married;High;No
Female;37;Part time;Low;Married;High;No
Female;60;Unemployed;High;Married;Medium;No
Male;59;Self employed;Low;Married;Low;Yes 
Male;42;Self employed;Low;DP;Medium;Yes 
Male;59;Part time;High;DP;High;No
Female;63;Retired;Medium;Divorced;Low;Yes 
Female;64;Part time;High;DP;High;No
Female;62;Full time;Low;Married;High;No
Male;63;Full time;Low;Single;Low;Yes 
Female;38;Full time;Medium;DP;High;No
Male;56;Self employed;High;Married;High;Yes 
Female;32;Unemployed;High;Married;Low;Yes 
Male;37;Full time;High;Married;High;No
Male;53;Unemployed;Low;Single;Low;No
Female;24;A student;High;Single;High;Yes 
Female;46;Unemployed;Low;DP;Medium;Yes 
Male;59;Retired;High;Married;High;Yes 
Female;61;Retired;Low;Married;Medium;Yes 
Male;38;Full time;Medium;Married;High;No
Male;50;Full time;Medium;DP;Medium;No
Female;55;Full time;High;Single;High;No
Male;40;Full time;High;Married;High;No
Male;62;Full time;Medium;Married;Medium;No
Male;20;Unemployed;Low;Single;Medium;Yes 
Male;41;Full time;High;DP;Medium;Yes 
Male;47;Full time;Medium;Married;High;Yes 
Male;45;Self employed;Medium;Married;High;Yes 
Male;55;Retired;Low;Divorced;Low;Yes 
Male;50;Full time;High;Married;High;No
Male;41;Full time;High;Married;High;Yes 
Male;62;Full time;High;Married;High;Yes 
Male;43;Full time;Low;Married;High;Yes 
Female;22;Unemployed;Low;Single;High;No
Female;58;Retired;High;Married;High;Yes 
Male;33;Full time;High;Single;High;Yes 
Male;48;Self employed;Low;Married;High;Yes 
Male;48;Part time;Medium;Married;High;Yes 
Female;64;Retired;High;Married;High;No
Male;32;Full time;Medium;Married;High;Yes 
Male;45;Full time;High;Married;High;Yes 
Female;22;Full time;High;Single;High;No
Male;63;Retired;Medium;Married;High;No
Female;20;Part time;Low;Single;Medium;No
Male;54;Full time;Medium;Married;High;Yes 
Female;56;Self employed;Low;Married;High;No
Female;50;Self employed;High;Divorced;Low;Yes 
Female;35;Full time;Medium;Single;Medium;Yes 
Female;55;Unemployed;Medium;Married;High;Yes 
Male;34;Full time;High;Married;Medium;No
Female;48;Unemployed;Medium;Married;Low;No
Male;59;Full time;Low;Married;High;Yes 
Male;56;Full time;Medium;Single;High;No
Male;62;Retired;Low;Married;High;No
Female;29;Full time;High;Married;High;No
Female;41;Full time;High;Married;High;No
Female;27;Part time;High;Married;High;Yes 
Male;33;Unemployed;Low;Single;Medium;No
Male;37;Full time;Medium;Single;Low;No
Female;35;Full time;High;Single;Medium;Yes 
Male;53;Full time;Low;DP;High;Yes 
Female;54;Self employed;High;Single;Medium;No
Female;35;Part time;Medium;Divorced;Low;No
Female;52;Full time;High;Married;High;Yes 
Male;57;Prefer not to answer;Low;Married;High;No
Male;57;Full time;Medium;Married;High;Yes 
Male;31;Full time;High;Married;High;No
Male;26;Full time;Medium;Single;High;Yes 
Male;51;Full time;High;Married;Medium;Yes 
Male;23;A student;Medium;DP;High;No
Male;35;Full time;High;Single;Medium;Yes 
Female;59;Unemployed;Medium;Married;Low;Yes 
Female;49;Full time;Low;Single;Low;No
Male;34;Full time;High;Married;Medium;No
Female;59;Part time;Low;Divorced;Medium;Yes 
Female;55;Self employed;Low;Divorced;High;Yes 
Female;59;Self employed;High;Married;High;Yes 
Female;27;Full time;High;Single;Medium;No
Female;50;Part time;Low;DP;Medium;No
Female;39;Part time;Low;Married;High;No
Female;36;Unemployed;Low;DP;Medium;Yes 
Male;51;Full time;Low;Married;High;No
Male;59;Part time;Low;Married;High;No
Male;33;Full time;High;Single;High;No
Male;52;Full time;Low;Married;High;No
Male;63;Retired;Medium;Married;High;No
Female;40;Full time;High;Single;Medium;Yes 
Female;26;Full time;High;DP;Medium;Yes 
Female;26;Unemployed;Medium;Single;High;Yes 
Female;61;Part time;High;DP;Medium;Yes 
Female;36;Self employed;High;Married;High;No
Female;53;Unemployed;Low;Single;Low;Yes 
Male;35;Full time;High;DP;High;Yes 
Male;47;Full time;Medium;Married;High;No
Female;36;Part time;High;Married;High;Yes 
Male;61;Full time;Low;Married;Medium;No
Male;38;Part time;Low;Divorced;Low;No
Female;22;Full time;Low;Single;Medium;No
Female;64;Retired;Medium;Married;Medium;Yes 
Male;44;Full time;High;Married;High;Yes 
Female;25;Full time;High;Single;Medium;No
Female;48;Self employed;Low;Married;Medium;No
Male;58;Retired;Medium;Single;Medium;Yes 
Female;63;Retired;Low;Married;Low;Yes 
Male;54;Full time;Medium;Married;Low;Yes 
Female;49;Part time;High;Single;Medium;No
Male;22;A student;High;Single;High;Yes 
Female;35;Prefer not to answer;Medium;Married;Medium;No
Male;34;Full time;High;Married;High;No
Female;30;Full time;High;Married;High;Yes 
Female;44;Self employed;High;Married;Medium;Yes 
Female;40;Part time;Low;Married;Medium;No
Male;61;Self employed;High;DP;Low;No
Male;64;Retired;Low;Married;Medium;Yes 
Female;45;Full time;Medium;Divorced;Medium;No
Female;50;Unemployed;High;Married;High;Yes 
Male;42;Full time;Medium;Married;Medium;Yes 
Male;49;Unemployed;Low;Married;Low;Yes 
Male;40;Full time;Low;Single;Medium;No
Male;46;Full time;High;Single;High;No
Male;49;Full time;Low;Married;Medium;Yes 
Male;49;Full time;Low;Married;High;No
Female;53;Full time;Low;Married;High;Yes 
Male;57;Retired;Medium;Divorced;Low;No
Male;32;Full time;Low;Single;High;No
Male;43;Full time;Low;Single;High;No
Female;34;Full time;Medium;Married;High;Yes 
Female;60;Self employed;High;Single;Medium;No
Female;39;Full time;Low;Divorced;Medium;Yes 
Male;35;Full time;High;Married;High;Yes 
Female;35;Unemployed;Medium;Married;High;No
Female;50;Unemployed;Low;DP;Medium;No
Male;43;Full time;Low;Divorced;High;No
Female;35;Unemployed;Medium;Married;High;Yes 
Male;40;Part time;Low;Single;High;No
Male;41;Full time;Low;Divorced;Medium;Yes 
Female;26;Self employed;Medium;Single;Medium;No
Female;21;Full time;Low;Single;High;Yes 
Female;55;Full time;Low;Married;High;Yes 
Male;53;Full time;High;Married;Medium;No
Female;45;Full time;Low;Divorced;Medium;Yes 
Female;58;Full time;High;Divorced;High;No
Female;24;Part time;Medium;Single;High;No
Male;29;Full time;Medium;Married;High;Yes 
Male;34;Full time;High;Married;High;Yes 
Male;61;Retired;Medium;Single;Low;Yes 
Female;44;Part time;Medium;Married;High;No
Female;36;Prefer not to answer;Low;Married;High;No
Female;42;Full time;Medium;Married;High;No
Male;46;Unemployed;Medium;Married;High;No
Female;48;Full time;Low;Divorced;High;Yes 
Female;51;Part time;Medium;Divorced;Medium;Yes 
Female;54;Retired;Low;Married;High;No
Female;56;Unemployed;High;Divorced;Low;No
Male;22;A student;Low;Single;Medium;Yes 
Male;62;Retired;Medium;Married;High;No
Male;32;Full time;High;Married;Medium;No
Male;28;A student;High;Single;Medium;Yes 
Female;34;Full time;Medium;Married;Medium;No
Female;24;Full time;High;Single;High;Yes 
Male;41;Full time;Low;Married;High;No
Female;37;Full time;Medium;Single;High;No
Female;36;Unemployed;Low;Married;Low;Yes 
Male;35;Unemployed;Low;Married;High;No
Female;36;Full time;Low;DP;High;No
Male;21;A student;High;Single;Medium;No
Female;42;Full time;Low;Married;Medium;Yes 
Female;40;Full time;Low;Married;High;Yes 
Male;51;Self employed;Medium;DP;High;Yes 
Female;39;Full time;Medium;Divorced;High;Yes 
Male;27;Full time;Medium;Single;High;Yes 
Male;36;Full time;High;Married;High;No
Male;55;Full time;Medium;Married;High;Yes 
Male;59;Full time;High;Married;Medium;No
Female;20;A student;Low;Single;Low;Yes 
Female;33;Full time;Low;Married;High;No
Male;58;Self employed;High;Married;High;No
Male;51;Full time;Low;Married;Medium;No
Female;23;Self employed;Medium;Single;High;No
Male;22;Full time;Low;Single;Medium;No
Female;57;Retired;High;Divorced;Medium;No
Male;50;Self employed;Low;DP;High;No
Female;24;Full time;High;Single;Medium;No
Female;46;Unemployed;Low;Married;High;No
Female;39;Full time;Low;Married;Medium;Yes 
Female;63;Full time;High;Divorced;High;Yes 
Male;52;Self employed;Low;Divorced;Medium;No
Male;50;Full time;Low;Single;High;Yes 
Female;55;Full time;Low;Married;High;No
Male;62;Retired;Medium;Married;Medium;No
Male;23;Full time;High;Single;High;Yes 
Female;23;A student;Low;Married;Medium;No
Male;23;Full time;Low;Single;Medium;No
Female;44;Full time;Low;Married;High;Yes 
Male;64;Retired;Low;Married;Medium;Yes 
Male;38;Full time;High;Married;High;Yes 
Female;31;Self employed;Low;Married;High;No
Male;57;Self employed;High;Married;High;Yes 
Male;64;Self employed;High;Married;High;No
Female;33;Full time;Low;Married;High;Yes 
Female;55;Full time;Medium;Married;High;Yes 
Female;56;Full time;Low;DP;High;Yes 
Female;55;Self employed;Medium;Widowed;High;Yes 
Male;23;Prefer not to answer;Low;Single;High;No
Female;56;Self employed;Low;Widowed;Low;No
Female;46;Full time;High;Divorced;High;Yes 
Male;61;Retired;Low;Married;Medium;No
Male;54;Self employed;Medium;Single;High;Yes 
Female;32;Self employed;High;DP;High;Yes 
Male;49;Retired;Low;Married;High;Yes 
Female;55;Prefer not to answer;Low;Married;High;Yes 
Female;27;Part time;Medium;Single;Medium;No
Female;50;Full time;Low;Widowed;High;Yes 
Male;21;Part time;High;DP;High;Yes 
Female;38;Unemployed;Medium;Married;Medium;No
Female;46;Prefer not to answer;High;Married;Medium;Yes 
Female;27;Unemployed;Low;DP;Medium;No
Male;33;Self employed;High;Divorced;High;Yes 
Female;20;Self employed;Low;Single;High;Yes 
Male;43;Full time;Medium;Married;High;No
Female;54;Part time;Low;Widowed;Low;Yes 
Female;43;Unemployed;Medium;Married;Medium;Yes 
Male;46;Full time;High;Married;High;Yes 
Male;23;Full time;Low;Single;Medium;No
Male;24;Full time;Low;Single;Medium;Yes 
Female;40;Full time;Low;Married;Medium;No
Female;32;Self employed;Medium;Married;High;Yes 
Female;51;Self employed;Medium;Married;Medium;No
Female;29;Full time;Medium;Married;High;No
Male;23;Full time;High;DP;High;Yes 
Female;40;Full time;Medium;Single;Medium;Yes 
Female;59;Retired;Low;Married;Medium;No
Female;51;Self employed;Low;Widowed;Low;No
Male;48;Self employed;High;Married;High;Yes 
Female;41;Full time;Low;Married;High;No
Female;45;Self employed;High;DP;Medium;No
Female;24;Full time;Medium;Single;Medium;Yes 
Female;46;Full time;Low;Divorced;High;Yes 
Male;48;Self employed;High;Married;High;Yes 
Female;46;Part time;Low;Widowed;High;No
Male;46;Full time;Medium;Married;High;No
Male;41;Full time;Medium;Married;High;Yes 
Male;29;Full time;High;Married;High;Yes 
Male;29;Full time;Low;Married;High;No
Female;32;Full time;Medium;Married;Medium;No
Female;54;Retired;Low;Married;Medium;No
Female;47;Self employed;High;Married;High;Yes 
Female;50;Full time;Low;Married;Medium;Yes 
Male;34;Full time;Low;Married;High;Yes 
Female;23;A student;High;Single;Low;No
Female;20;A student;Low;Single;Medium;No
Female;38;Unemployed;Low;Single;Low;No
Female;37;Full time;Medium;Single;High;Yes 
Male;43;Full time;High;Married;High;No
Female;28;Unemployed;Low;Single;High;Yes 
Female;25;Unemployed;Low;Single;High;No
Male;33;Self employed;High;Married;High;Yes 
Male;41;Full time;Low;Married;Medium;No
Female;23;A student;Low;Single;Low;Yes 
Male;21;Part time;Low;Single;Low;Yes 
Male;47;Full time;High;Married;Medium;No
Female;45;Full time;Medium;Married;High;No
Male;32;Full time;Medium;Married;High;Yes 
Female;33;Full time;Medium;Single;High;Yes 
Female;22;Self employed;High;DP;Medium;Yes 
Male;58;Self employed;High;Married;High;No
Male;33;Full time;Medium;Married;Medium;No
Female;30;Full time;Low;Married;High;Yes 
Female;39;Full time;Low;Married;Medium;Yes 
Female;52;Unemployed;High;Married;High;No
Male;23;Full time;Low;Single;Medium;No
Male;41;Unemployed;Low;DP;Medium;Yes 
Female;23;A student;Medium;Single;Low;Yes 
Male;30;Self employed;Low;Single;High;Yes 
Female;60;Part time;High;Married;Medium;No
Male;44;Full time;High;Married;High;Yes 
Female;31;Unemployed;High;DP;High;No
Male;26;Self employed;Medium;Married;Medium;Yes 
Male;30;Full time;High;DP;Medium;Yes 
Male;46;Self employed;Medium;Single;High;Yes 
Female;51;Retired;Low;Married;High;Yes 
Female;23;Full time;Low;Single;High;Yes 
Male;23;Full time;High;Single;High;Yes 
Female;45;Full time;Medium;Married;Medium;Yes 
Female;38;Unemployed;Low;Divorced;Low;No
Male;35;Self employed;High;Married;Medium;No
Male;51;Full time;Low;Married;High;Yes 
Female;47;Full time;High;Married;High;No
Male;33;Full time;High;Married;High;No
Male;42;Full time;Medium;Married;High;Yes 
Male;54;Self employed;Low;Married;Medium;Yes 
Male;21;A student;High;Single;Low;No
Male;55;Retired;Low;Married;High;Yes 
Male;43;Full time;Low;Single;High;Yes 
Male;26;Unemployed;Medium;Single;High;No
Female;45;Full time;High;Divorced;High;No
Male;38;Full time;Medium;Divorced;High;Yes 
Female;40;Self employed;Medium;Married;High;Yes 
Female;41;Full time;Low;Married;Medium;No
Female;27;Part time;Medium;DP;Medium;No
Female;30;Full time;Low;Married;High;No
Female;50;Unemployed;Low;Married;Medium;No
Male;33;Full time;Low;Married;High;Yes 
Female;27;Unemployed;Low;Married;Medium;Yes 
Male;41;Full time;High;Married;Medium;No
Male;41;Full time;Medium;Married;High;No
Female;38;Full time;High;Single;High;No
Male;51;Full time;High;Married;High;No
Female;50;Full time;Low;Divorced;High;Yes 
Male;36;Self employed;High;Single;High;No
Female;47;Full time;Medium;Single;Medium;No
Male;24;Full time;Medium;Single;Medium;No
Male;24;A student;High;Single;Medium;Yes 
Male;51;Self employed;High;Married;High;Yes 
Male;33;Full time;High;Married;High;No
Female;31;Full time;Low;Married;High;Yes 
Male;29;Full time;High;Married;High;Yes 
Male;35;Self employed;Low;Divorced;Low;Yes 
Male;23;Full time;Medium;Single;High;Yes 
Male;63;Full time;Low;Married;High;Yes 
Female;35;Retired;Low;DP;Medium;No
Male;24;Self employed;High;Single;High;No
